,Link,Name,Description,Actual_price,offer_price
52,/lakme-forever-matte-liquid-lip-colour--pink-peach/p/4919544020_pink,LAKME,Forever Matte Liquid Lip Colour - Pink Peach,₹279,₹223
53,/swiss-beauty-non-transfer-matte-crayon-lipstick--chocobar/p/4936361870_multi,Swiss Beauty,Non-Transfer Matte Crayon Lipstick - Chocobar,₹254,₹203
54,/maybelline-new-york-color-sensational-creamy-matte-lipstick/p/4913558680_696burgundyblush,Maybelline New York,Color Sensational Creamy Matte Lipstick,₹253,₹202
55,/insight-cosmetics-color-rich-lipstick--sugur-plum/p/4924943780_sugurplum,Insight Cosmetics,Color Rich Lipstick - Sugur Plum,₹149,₹119
56,/blue-heaven-powder-matte--coral-touch-002-3/p/4919437880_coraltouch,BLUE HEAVEN,Powder Matte - Coral Touch 002 3,₹165,No Offer
57,/miss-claire-matte-power-lipcolor/p/4924927740_no6,Miss Claire,Matte Power Lipcolor,₹395,₹335
58,/blue-heaven-powder-matte-sienna-sunset-n03/p/4919437880_siennasunset,BLUE HEAVEN,Powder Matte -Sienna Sunset N03,₹165,No Offer
59,/lakme-forever-matte-liquid-lip-colour--pink-prom/p/4919544020_pinkprom,LAKME,forever Matte Liquid Lip Colour - Pink Prom,₹279,₹223
60,/faces-canada-matte-addiction-lipstick--07-obsessive-red/p/4936523300_red,Faces Canada,Matte Addiction Lipstick - 07 Obsessive Red,₹719,₹576
61,/maybelline-new-york-color-sensational-creamy-matte-lipstick/p/4913558680_680mesmerizingmagenta,Maybelline New York,Color Sensational Creamy Matte Lipstick,₹253,₹202
62,/colorbar-sinful-matte-lipcolor--025-mistress/p/4928742980_mistress,COLORBAR,Sinful Matte Lipcolor - 025 Mistress,"₹1,299","₹1,103"
63,/miss-claire-soft-matte-lip-cream-no-52/p/4924930130_no52,Miss Claire,Soft Matte Lip Cream No 52,₹225,₹191
64,/half-n-half-matte-lip-crayon--18-divine-wine/p/4929273000_maroon,HALF N HALF,Matte Lip Crayon - 18 Divine Wine,₹299,₹254
65,/revlon-colorstay-overtime-lip-color-always-sienna-8-ml-/p/4919416600_alwayssienna,REVLON,Colorstay Overtime Lip Color -Always Sienna (8 ml),₹871,₹684
66,/renee-5-in-1-fab-5-nude-lipstick/p/4928754800_5in1nude,Renee,5-In-1 Fab 5 Nude Lipstick,₹750,₹637
67,/maybelline-new-york-super-stay-crayon-lipstick--50-own-your-empire--1-2-gm/p/4919005620_ownyouempire,Maybelline New York,Super Stay Crayon Lipstick - 50 Own your Empire - 1.2 gm,₹575,₹451
68,/mars-super-stay-non-transfer-lipstick--16-angel-wings/p/4939138950_16angelwings,MARS,Super Stay Non-Transfer Lipstick - 16 Angel Wings,₹279,₹237
69,/maybelline-new-york-color-show-intense-lip-crayon-passionate-plum/p/4919383250_passionateplum,Maybelline New York,Color Show Intense Lip Crayon Passionate Plum,₹327,₹262
70,/insight-cosmetics-color-rich-lipstick--flamenco-red/p/4924943780_flamencored,Insight Cosmetics,Color Rich Lipstick - Flamenco Red,₹149,₹119
71,/blue-heaven-powder-matte--spicy-red-rm07/p/4919437880_spicyred,BLUE HEAVEN,Powder Matte - Spicy Red RM07,₹165,No Offer
72,/colorbar-sinful-matte-lipcolor--028-hickey/p/4928742980_hickey,COLORBAR,Sinful Matte Lipcolor - 028 Hickey,"₹1,299","₹1,103"
73,/colorbar-starry-flip-lipstick-peek-a-boo-003-3-5-g-/p/4921666380_peekaboo003,COLORBAR,Starry Flip Lipstick Peek-A-Boo 003 (3.5 g),"₹1,200","₹1,019"
74,/makeup-revolution-remove-cheek--lip-baby-tint--blush/p/4926553660_brown,Makeup Revolution,Remove Cheek & Lip Baby Tint - Blush,₹424,₹339
75,/insight-cosmetics-color-rich-lipstick--pink-show/p/4924943780_pinkshow,Insight Cosmetics,Color Rich Lipstick - Pink Show,₹149,₹119
76,/blue-heaven-powder-matte-mocha-madness-b02/p/4919437880_mochamadness,BLUE HEAVEN,Powder Matte -Mocha Madness B02,₹165,No Offer
77,/plum-matte-in-heaven-liquid-lipstick--130-cocoa-mocha/p/4936226910_multi,Plum,Matte In Heaven Liquid Lipstick - 130 Cocoa Mocha,₹499,₹424
78,/lakme-forever-matte-liquid-lip-colour--red-carpet/p/4919544020_red,LAKME,Forever Matte Liquid Lip Colour - Red Carpet,₹279,₹223
79,/lakme-9-to5-primer--matte-liquid-lip-color-mb2/p/4928482980_intenselatte,LAKME,9 to5 Primer & Matte Liquid Lip Color- MB2,₹349,₹279
